cooling_system_type,climate_zone,Location,PUE_mean,Qavail_mean_kW,eta_mean,ERE_mean
14,1A,MIAMI.XLSX,1.767223059426648,1767.2230594266478,0.0016976237406816,1.7642181049182997
14,2A,HOUSTON.XLSX,1.7307979877520054,1730.7979877520054,0.0015719415372104,1.7280853161926013
14,2B,PHOENIX.XLSX,1.7673928538869637,1767.3928538869634,0.0016122373549084,1.764543545171274
14,3A,ATLANTA.XLSX,1.681600221820417,1681.600221820417,0.0016073937110989,1.6788960132266089
14,3B,LAS VEGAS.XLSX,1.7241355954528688,1724.1355954528688,0.0016467271473281,1.721301179663759
14,3C,SAN FRANCISCO.XLSX,1.6816285895001035,1681.6285895001038,0.0015419860835026,1.679034079106574
14,4A,BALTIMORE.XLSX,1.631147075663304,1631.1470756633037,0.0016373860241967,1.6284680254774362
14,4B,ALBUQUERQUE.XLSX,1.6350489119406086,1635.0489119406088,0.0015682651079152,1.6324833689027896
14,4C,SEATTLE.XLSX,1.639410033375061,1639.4100333750612,0.0016405275633171,1.636718995228991
14,5A,CHICAGO.XLSX,1.5834598780732614,1583.4598780732615,0.0016012094380268,1.5809250351066166
14,5B,DENVER.XLSX,1.594764579574835,1594.7645795748351,0.0016445587748936,1.5921499542299982
14,6A,MINNEAPOLIS.XLSX,1.5607754941581082,1560.775494158108,0.0016492610667882,1.5582057773197917
14,6B,HELENA.XLSX,1.5495086506305216,1549.5086506305215,0.0016630047859185,1.5469303924973477
14,7,DULUTH.XLSX,1.5243100681066644,1524.3100681066642,0.0015607725286916,1.521919392283032
14,8,FAIRBANKS.XLSX,1.4856987796463743,1485.6987796463743,0.0016902169802991,1.4831807052334811
